No.,Title,Artist,Year,duration_sec
4,Payphone,Maroon 5 featuring Wiz Khalifa,2012,224.014
5,Lights,Ellie Goulding,2012,244.266
6,Glad You Came,The Wanted,2012,198.186
7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,221.946
8,We Found Love,Rihanna featuring Calvin Harris,2012,277.516
9,Starships,Nicki Minaj,2012,210.626
10,What Makes You Beautiful,One Direction,2012,199.986
11,Wild Ones,Flo Rida featuring Sia,2012,262.16
12,Set Fire to the Rain,Adele,2012,242.973
13,Sexy and I Know It,LMFAO,2012,199.48
14,Some Nights,Fun,2012,277.04
15,Wide Awake,Katy Perry,2012,220.946
16,Good Feeling,Flo Rida,2012,248.133
17,Whistle,Flo Rida,2012,224.653
18,One More Night,Maroon 5,2012,219.466
19,Drive By,Train,2012,195.973
20,The Motto,Drake featuring Lil Wayne,2012,274.192
21,Where Have You Been,Rihanna,2012,242.68
22,Everybody Talks,Neon Trees,2012,177.28
23,Take Care,Drake featuring Rihanna,2012,328.332
24,Titanium,David Guetta featuring Sia,2012,31.28
25,I Won't Give Up,Jason Mraz,2012,240.165
26,It Will Rain,Bruno Mars,2012,257.72
27,Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz",2012,327.706
28,Boyfriend,Justin Bieber,2012,171.333
29,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2012,262.173
30,Too Close,Alex Clare,2012,256.56
31,Part of Me,Katy Perry,2012,216.16
32,"Young, Wild & Free",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,2012,207.333
33,We Are Never Ever Getting Back Together,Taylor Swift,2012,191.88
34,As Long as You Love Me,Justin Bieber featuring Big Sean,2012,229.466
35,Turn Me On,David Guetta featuring Nicki Minaj,2012,288.133
36,Moves like Jagger,Maroon 5 featuring Christina Aguilera,2012,587.139
37,Blow Me (One Last Kiss),Pink,2012,255.586
38,Good Time,Owl City and Carly Rae Jepsen,2012,205.647
39,Give Your Heart a Break,Demi Lovato,2012,205.346
40,Niggas in Paris,Jay-Z and Kanye West,2012,321.501
41,The One That Got Away,Katy Perry,2012,227.333
42,Feel So Close,Calvin Harris,2012,206.413
43,Someone like You,Adele,2012,285.24
44,Scream,Usher,2012,234.693
45,Rack City,Tyga,2012,208.44
46,Domino,Jessie J,2012,231.693
47,Gangnam Style,Psy,2012,219.493
48,International Love,Pitbull featuring Chris Brown,2012,227.28
49,Home,Phillip Phillips,2012,210.173
50,Without You,David Guetta featuring Usher,2012,31.28
51,Ass Back Home,Gym Class Heroes featuring Neon Hitch,2012,309.08
52,Wanted,Hunter Hayes,2012,228.84
53,Drunk on You,Luke Bryan,2012,213.546
54,No Lie,2 Chainz featuring Drake,2012,274.192
55,Want U Back,Cher Lloyd,2012,214.573
56,Don't Wake Me Up,Chris Brown,2012,222.306
57,Dance (A$$),Big Sean featuring Nicki Minaj,2012,3614.013
58,Springsteen,Eric Church,2012,263.386
59,Brokenhearted,Karmin,2012,227.146
60,Not Over You,Gavin DeGraw,2012,218.52
61,Stereo Hearts,Gym Class Heroes featuring Adam Levine,2012,208.64
62,Back in Time,Pitbull,2012,207.76
63,Work Out,J. Cole,2012,235.32
64,Rumour Has It,Adele,2012,223.266
65,Let's Go,Calvin Harris featuring Ne-Yo,2012,229.146
66,Good Girl,Carrie Underwood,2012,205.56
67,Pontoon,Little Big Town,2012,212.32
68,Ho Hey,The Lumineers,2012,163.133
69,Paradise,Coldplay,2012,278.719
70,Blown Away,Carrie Underwood,2012,240.133
71,Rolling in the Deep,Adele,2012,228.093
72,Climax,Usher,2012,232.906
73,"Work Hard, Play Hard",Wiz Khalifa,2012,219.026
74,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2012,251.626
75,Pound the Alarm,Nicki Minaj,2012,205.64
76,Come Over,Kenny Chesney,2012,248.426
77,Heart Attack,Trey Songz,2012,233.146
78,Drank in My Cup,Kirko Bangz,2012,232.16
79,Birthday Cake,Rihanna featuring Chris Brown,2012,147.051
80,So Good,B.o.B,2012,213.253
81,50 Ways to Say Goodbye,Train,2012,247.946
82,Red Solo Cup,Toby Keith,2012,223.386
83,Love You like a Love Song,Selena Gomez & the Scene,2012,188.453
84,Turn Up the Music,Chris Brown,2012,227.973
85,Die Young,Kesha,2012,211.92
86,5 O'Clock,T-Pain featuring Wiz Khalifa and Lily Allen,2012,279.755
87,A Thousand Years,Christina Perri,2012,285.12
88,Take a Little Ride,Jason Aldean,2012,187.613
89,You da One,Rihanna,2012,200.013
90,We Run the Night,Havana Brown featuring Pitbull,2012,228.2
91,It's Time,Imagine Dragons,2012,237.986
92,Cashin' Out,Cash Out,2012,236.303
93,I Don't Want This Night to End,Luke Bryan,2012,219.973
94,Diamonds,Rihanna,2012,225.146
95,Hard to Love,Lee Brice,2012,224.293
96,Somethin' 'Bout a Truck,Kip Moore,2012,213.826
97,Adorn,Miguel,2012,193.146
98,Fly Over States,Jason Aldean,2012,218.2
99,Even If It Breaks Your Heart,Eli Young Band,2012,220.52
100,Burn It Down,Linkin Park,2012,230.253
1,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,2013,193.746
2,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2013,308.146
3,Radioactive,Imagine Dragons,2013,186.813
4,Harlem Shake,Baauer,2013,196.664
5,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,2013,215.671
6,Mirrors,Justin Timberlake,2013,484.146
7,Just Give Me a Reason,Pink featuring Nate Ruess,2013,232.186
8,When I Was Your Man,Bruno Mars,2013,213.826
9,Cruise,Florida Georgia Line featuring Nelly,2013,205.734
10,Roar,Katy Perry,2013,223.546
11,Locked Out of Heaven,Bruno Mars,2013,233.478
12,Ho Hey,The Lumineers,2013,163.133
13,Stay,Rihanna featuring Mikky Ekko,2013,242.755
14,Get Lucky,Daft Punk featuring Pharrell Williams,2013,211.034
15,Royals,Lorde,2013,190.185
16,I Knew You Were Trouble,Taylor Swift,2013,217.973
17,We Can't Stop,Miley Cyrus,2013,231.24
18,Wrecking Ball,Miley Cyrus,2013,221.36
19,Wake Me Up,Avicii,2013,247.426
20,Suit & Tie,Justin Timberlake featuring Jay-Z,2013,290.173
21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,128.013
22,Holy Grail,Jay-Z featuring Justin Timberlake,2013,187
23,Scream & Shout,will.i.am featuring Britney Spears,2013,283.4
24,Clarity,Zedd featuring Foxes,2013,277.4
25,Sail,Awolnation,2013,259.093
26,Don't You Worry Child,Swedish House Mafia featuring John Martin,2013,379.413
27,Diamonds,Rihanna,2013,225.146
28,I Love It,Icona Pop featuring Charli XCX,2013,198.367
29,Safe and Sound,Capital Cities,2013,192.789
30,Treasure,Bruno Mars,2013,176.093
31,The Way,Ariana Grande featuring Mac Miller,2013,259.16
32,Started from the Bottom,Drake,2013,174.133
33,Come & Get It,Selena Gomez,2013,231.986
34,"Hold On, We're Going Home",Drake featuring Majid Jordan,2013,248.973
35,Daylight,Maroon 5,2013,225.306
36,Feel This Moment,Pitbull featuring Christina Aguilera,2013,229.506
37,Applause,Lady Gaga,2013,212.333
38,One More Night,Maroon 5,2013,219.466
39,Love Me,Lil Wayne featuring Drake and Future,2013,274.192
40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,2013,186.826
41,Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",2013,139.706
42,Beauty and a Beat,Justin Bieber featuring Nicki Minaj,2013,227.986
43,Same Love,Macklemore & Ryan Lewis featuring Mary Lambert,2013,112.564
44,Sweet Nothing,Calvin Harris featuring Florence Welch,2013,196.969
45,Summertime Sadness,Lana Del Rey and Cédric Gervais,2013,204.414
46,Home,Phillip Phillips,2013,210.173
47,It's Time,Imagine Dragons,2013,237.986
48,Power Trip,J. Cole featuring Miguel,2013,242.311
49,Girl on Fire,Alicia Keys featuring Nicki Minaj,2013,200.075
50,Heart Attack,Demi Lovato,2013,210.84
51,Love Somebody,Maroon 5,2013,229.813
52,I Will Wait,Mumford & Sons,2013,276.72
53,Try,Pink,2013,247.906
54,Wagon Wheel,Darius Rucker,2013,298.373
55,Gangnam Style,Psy,2013,219.493
56,I Need Your Love,Calvin Harris featuring Ellie Goulding,2013,185.173
57,Die Young,Kesha,2013,211.92
58,Some Nights,Fun,2013,277.04
59,Bad,Wale featuring Tiara Thomas or Rihanna,2013,238.826
60,Boys 'Round Here,Blake Shelton featuring Pistol Annies and Friends,2013,229.4
61,"Gone, Gone, Gone",Phillip Phillips,2013,209.693
62,Demons,Imagine Dragons,2013,175.2
63,Counting Stars,OneRepublic,2013,257.84
64,I Cry,Flo Rida,2013,223.8
65,Little Talks,Of Monsters and Men,2013,266.6
66,The Other Side,Jason Derulo,2013,226.986
67,Berzerk,Eminem,2013,238.746
68,Catch My Breath,Kelly Clarkson,2013,250.386
69,Crash My Party,Luke Bryan,2013,234.76
70,Pour It Up,Rihanna,2013,161.2
71,22,Taylor Swift,2013,230.96
72,I Want Crazy,Hunter Hayes,2013,236.865
73,The Fox (What Does the Fox Say?),Ylvis,2013,213.708
74,Best Song Ever,One Direction,2013,200.106
75,The A Team,Ed Sheeran,2013,258.373
76,Carry On,Fun,2013,278.373
77,Highway Don't Care,Tim McGraw featuring Taylor Swift and Keith Urban,2013,276.88
78,That's My Kind of Night,Luke Bryan,2013,190.186
79,Swimming Pools (Drank),Kendrick Lamar,2013,247.8
80,Sure Be Cool If You Did,Blake Shelton,2013,215.72
81,#Beautiful,Mariah Carey featuring Miguel,2013,177.866
82,Troublemaker,Olly Murs featuring Flo Rida,2013,185.586
83,Body Party,Ciara,2013,234.04
84,Adorn,Miguel,2013,193.146
85,Hall of Fame,The Script featuring will.i.am,2013,241.186
86,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2013,251.626
87,U.O.E.N.O.,Rocko featuring Future and Rick Ross,2013,182.602
88,Next to Me,Emeli Sandé,2013,196.866
89,Mama's Broken Heart,Miranda Lambert,2013,177.773
90,It Goes Like This,Thomas Rhett,2013,186.08
91,Bugatti,Ace Hood featuring Future and Rick Ross,2013,236.016
92,Wanted,Hunter Hayes,2013,228.84
93,Downtown,Lady Antebellum,2013,195.866
94,Get Your Shine On,Florida Georgia Line,2013,222.013
95,#thatPower,will.i.am featuring Justin Bieber,2013,210.415
96,Brave,Sara Bareilles,2013,220.573
97,Let Her Go,Passenger,2013,252.733
98,Runnin' Outta Moonlight,Randy Houser,2013,193.773
99,I'm Different,2 Chainz,2013,207.04
100,Still Into You,Paramore,2013,216.013
1,Happy,Pharrell Williams,2014,232.72
2,Dark Horse,Katy Perry featuring Juicy J,2014,213.028
3,All of Me,John Legend,2014,269.56
4,Fancy,Iggy Azalea featuring Charli XCX,2014,523.386
5,Counting Stars,OneRepublic,2014,257.84
6,Talk Dirty,Jason Derulo featuring 2 Chainz,2014,177.685
7,Rude,Magic!,2014,224.84
8,All About That Bass,Meghan Trainor,2014,187.92
9,Problem,Ariana Grande featuring Iggy Azalea,2014,195.012
10,Stay with Me,Sam Smith,2014,172.723
11,Timber,Pitbull featuring Kesha,2014,202.919
12,Pompeii,Bastille,2014,214.147
13,Shake It Off,Taylor Swift,2014,219.2
14,Am I Wrong,Nico & Vinz,2014,245.866
15,Turn Down for What,DJ Snake and Lil Jon,2014,216.058
16,The Monster,Eminem featuring Rihanna,2014,251.245
17,Say Something,A Great Big World and Christina Aguilera,2014,233.874
18,Team,Lorde,2014,193.058
19,Let Her Go,Passenger,2014,252.733
20,Royals,Lorde,2014,190.185
21,Let It Go,Idina Menzel,2014,223.84
22,Wake Me Up,Avicii,2014,247.426
23,Demons,Imagine Dragons,2014,175.2
24,Story of My Life,One Direction,2014,245.493
25,Chandelier,Sia,2014,216.12
26,Black Widow,Iggy Azalea featuring Rita Ora,2014,209.423
27,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2014,153.378
28,Latch,Disclosure featuring Sam Smith,2014,411.613
29,Maps,Maroon 5,2014,189.96
30,Loyal,Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,2014,264.946
31,Best Day of My Life,American Authors,2014,194.24
32,Habits (Stay High),Tove Lo,2014,209.16
33,Summer,Calvin Harris,2014,222.533
34,Boom Clap,Charli XCX,2014,169.866
35,Drunk in Love,Beyoncé featuring Jay-Z,2014,110.906
36,Anaconda,Nicki Minaj,2014,260.239
37,Break Free,Ariana Grande featuring Zedd,2014,216.6
38,Bailando,Enrique Iglesias featuring Descemer Bueno and Gente de Zona,2014,257.435
39,Burn,Ellie Goulding,2014,231.211
40,Wiggle,Jason Derulo featuring Snoop Dogg,2014,253.68
41,Rather Be,Clean Bandit featuring Jess Glynne,2014,227.795
42,Don't Tell 'Em,Jeremih featuring YG,2014,220.69
43,Show Me,Kid Ink featuring Chris Brown,2014,279.871
44,Wrecking Ball,Miley Cyrus,2014,221.36
45,Not a Bad Thing,Justin Timberlake,2014,688.453
46,Roar,Katy Perry,2014,223.546
47,Ain't It Fun,Paramore,2014,296.52
48,The Man,Aloe Blacc,2014,255.906
49,This Is How We Roll,Florida Georgia Line featuring Luke Bryan,2014,222.419
50,Classic,MKTO,2014,175.426
51,A Sky Full of Stars,Coldplay,2014,267.866
52,Don't,Ed Sheeran,2014,219.84
53,Na Na,Trey Songz,2014,231.906
54,Hot Boy,Bobby Shmurda,2014,194.561
55,"Hold On, We're Going Home",Drake featuring Majid Jordan,2014,248.973
56,Sing,Ed Sheeran,2014,235.382
57,Radioactive,Imagine Dragons,2014,186.813
58,My Hitta,YG featuring Jeezy and Rich Homie Quan,2014,487.314
59,Cool Kids,Echosmith,2014,237.626
60,Hey Brother,Avicii,2014,255.093
61,Trumpets,Jason Derulo,2014,217.419
62,Animals,Maroon 5,2014,231.013
63,Burnin' It Down,Jason Aldean,2014,219.16
64,Play It Again,Luke Bryan,2014,226.866
65,2 On,Tinashe featuring ScHoolboy Q,2014,218.977
66,Dirt,Florida Georgia Line,2014,230.586
67,Love Runs Out,OneRepublic,2014,224.226
68,Bottoms Up,Brantley Gilbert,2014,220.2
69,Shower,Becky G,2014,206.166
70,Me and My Broken Heart,Rixton,2014,193.733
71,Animals,Martin Garrix,2014,304.228
72,Lifestyle,Rich Gang featuring Young Thug and Rich Homie Quan,2014,280.786
73,American Kids,Kenny Chesney,2014,182.96
74,Brave,Sara Bareilles,2014,220.573
75,Sweater Weather,The Neighbourhood,2014,240.4
76,Leave the Night On,Sam Hunt,2014,192.16
77,New Flame,Chris Brown featuring Usher and Rick Ross,2014,280.823
78,Love Never Felt So Good,Michael Jackson and Justin Timberlake,2014,503.771
79,Drunk on a Plane,Dierks Bentley,2014,254.466
80,Birthday,Katy Perry,2014,215.042
81,Bartender,Lady Antebellum,2014,198.274
82,La La La,Naughty Boy featuring Sam Smith,2014,174.333
83,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2014,308.146
84,Do What U Want,Lady Gaga featuring R. Kelly,2014,234.213
85,Can't Remember to Forget You,Shakira featuring Rihanna,2014,322.36
86,Amnesia,5 Seconds of Summer,2014,237.247
87,No Mediocre,T.I. featuring Iggy Azalea,2014,179.495
88,Come with Me Now,KONGOS,2014,211.96
89,Believe Me,Lil Wayne featuring Drake,2014,274.192
90,23,"Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",2014,252.08
91,Beachin',Jake Owen,2014,191.04
92,White Walls,Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,2014,124.642
93,She Looks So Perfect,5 Seconds of Summer,2014,202.496
94,Stay the Night,Zedd featuring Hayley Williams,2014,217.346
95,Partition,Beyoncé,2014,319.466
96,Studio,ScHoolboy Q featuring BJ the Chicago Kid,2014,180.506
97,0 to 100 / The Catch Up,Drake,2014,275.226
98,I Don't Dance,Lee Brice,2014,221.173
99,Somethin' Bad,Miranda Lambert and Carrie Underwood,2014,169.586
100,Adore You,Miley Cyrus,2014,278.746
1,Uptown Funk,Mark Ronson featuring Bruno Mars,2015,185.173
2,Thinking Out Loud,Ed Sheeran,2015,281.56
3,See You Again,Wiz Khalifa featuring Charlie Puth,2015,264
4,Trap Queen,Fetty Wap,2015,222.093
5,Sugar,Maroon 5,2015,235.493
6,Shut Up and Dance,Walk the Moon,2015,199.08
7,Blank Space,Taylor Swift,2015,231.826
8,Watch Me,Silentí³,2015,185.142
9,Earned It,The Weeknd,2015,277.68
10,The Hills,The Weeknd,2015,242.253
11,Cheerleader (Felix Jaehn Remix),OMI,2015,180.56
12,Can't Feel My Face,The Weeknd,2015,213.52
13,Love Me Like You Do,Ellie Goulding,2015,253.52
14,Take Me to Church,Hozier,2015,241.693
15,Bad Blood,Taylor Swift featuring Kendrick Lamar,2015,115.004
16,Lean On,Major Lazer and DJ Snake featuring Mí˜,2015,200.093
17,Want to Want Me,Jason Derulo,2015,207.719
18,Shake It Off,Taylor Swift,2015,219.2
19,Where Are íœ Now,Skrillex and Diplo (Jack íœ) featuring Justin Bieber,2015,200.093
20,Fight Song,Rachel Platten,2015,204.013
21,679,Fetty Wap featuring Remy Boyz,2015,308.565
22,Lips Are Movin,Meghan Trainor,2015,182.666
23,Worth It,Fifth Harmony featuring Kid Ink,2015,275.487
24,Post to Be,Omarion featuring Chris Brown and Jhené Aiko,2015,271.568
25,"Honey, I'm Good.",Andy Grammer,2015,199.263
26,I'm Not the Only One,Sam Smith,2015,239.316
27,Good for You,Selena Gomez featuring ASAP Rocky,2015,284.363
28,All About That Bass,Meghan Trainor,2015,187.92
29,Style,Taylor Swift,2015,231
30,Hotline Bling,Drake,2015,267.066
31,Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",2015,192.56
32,G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,2015,190.185
33,What Do You Mean?,Justin Bieber,2015,205.68
34,Photograph,Ed Sheeran,2015,258.986
35,Hello,Adele,2015,295.502
36,Stitches,Shawn Mendes,2015,206.88
37,Talking Body,Tove Lo,2015,238.426
38,Jealous,Nick Jonas,2015,223.106
39,Time of Our Lives,Pitbull and Ne-Yo,2015,230.4
40,Locked Away,R. City featuring Adam Levine,2015,382
41,Somebody,Natalie La Rose featuring Jeremih,2015,254.257
42,FourFiveSeconds,"Rihanna, Kanye West and Paul McCartney",2015,191.085
43,Centuries,Fall Out Boy,2015,228.36
44,My Way,Fetty Wap featuring Monty,2015,242.134
45,Take Your Time,Sam Hunt,2015,243.706
46,Animals,Maroon 5,2015,231.013
47,I Don't Fuck with You,Big Sean featuring E-40,2015,625.793
48,Bitch Better Have My Money,Rihanna,2015,219.305
49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2015,176.744
50,Nasty Freestyle,T-Wayne,2015,142.212
51,Only,"Nicki Minaj featuring Drake, Lil Wayne and Chris Brown",2015,301.03
52,Elastic Heart,Sia,2015,257.2
53,Cool for the Summer,Demi Lovato,2015,214.739
54,Renegades,X Ambassadors,2015,195.2
55,I Don't Mind,Usher featuring Juicy J,2015,236.6
56,Love Me Harder,Ariana Grande and The Weeknd,2015,235.363
57,Wildest Dreams,Taylor Swift,2015,220.44
58,Stay with Me,Sam Smith,2015,172.723
59,You Know You Like It,DJ Snake and AlunaGeorge,2015,230.786
60,Uma Thurman,Fall Out Boy,2015,211.573
61,11-Jul,Beyoncé,2015,208.146
62,The Heart Wants What It Wants,Selena Gomez,2015,227.373
63,Girl Crush,Little Big Town,2015,193.32
64,Slow Motion,Trey Songz,2015,197.854
65,Drag Me Down,One Direction,2015,192.12
66,Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne,2015,220.466
67,One Last Time,Ariana Grande,2015,197.266
68,Chains,Nick Jonas,2015,203.106
69,All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj,2015,180.522
70,No Type,Rae Sremmurd,2015,200.08
71,Riptide,Vance Joy,2015,204.28
72,Classic Man,Jidenna featuring Roman GianArthur,2015,208
73,Ex's & Oh's,Elle King,2015,202.173
74,Dear Future Husband,Meghan Trainor,2015,184.226
75,Marvin Gaye,Charlie Puth featuring Meghan Trainor,2015,177.22
76,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2015,30.731
77,Habits (Stay High),Tove Lo,2015,209.16
78,The Hanging Tree,James Newton Howard featuring Jennifer Lawrence,2015,269.4
79,CoCo,O.T. Genasis,2015,239.573
80,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2015,153.378
81,Lay Me Down,Sam Smith,2015,253.208
82,Tuesday,ILoveMakonnen featuring Drake,2015,205.264
83,Hit the Quan,iLoveMemphis,2015,181.08
84,Downtown,"Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz",2015,292.593
85,House Party,Sam Hunt,2015,190.24
86,Ayo,Chris Brown and Tyga,2015,233.142
87,Kick the Dust Up,Luke Bryan,2015,190.586
88,Blessings,Big Sean featuring Drake and Kanye West,2015,184.202
89,Budapest,George Ezra,2015,200.733
90,Chandelier,Sia,2015,216.12
91,Heartbeat Song,Kelly Clarkson,2015,198.733
92,Don't,Ed Sheeran,2015,219.84
93,Ghost,Ella Henderson,2015,213.213
94,Here,Alessia Cara,2015,199.453
95,Waves (Robin Schulz Remix),Mr Probz,2015,190.846
96,El Perdí³n,Nicky Jam and Enrique Iglesias,2015,178.218
97,She Knows,Ne-Yo featuring Juicy J,2015,201.649
98,Night Changes,One Direction,2015,226.6
99,Back to Back,Drake,2015,170.637
100,How Deep Is Your Love,Calvin Harris and Disciples,2015,195.186
1,Love Yourself,Justin Bieber,2016,233.72
2,Sorry,Justin Bieber,2016,200.786
3,One Dance,Drake featuring Wizkid and Kyla,2016,383.639
4,Work,Rihanna featuring Drake,2016,180.64
5,Stressed Out,Twenty One Pilots,2016,202.333
6,Panda,Desiigner,2016,247.866
7,Hello,Adele,2016,295.502
8,Don't Let Me Down,The Chainsmokers featuring Daya,2016,200.601
9,Can't Stop the Feeling!,Justin Timberlake,2016,237.546
10,Closer,The Chainsmokers featuring Halsey,2016,221.7
11,Cheap Thrills,Sia featuring Sean Paul,2016,212.884
12,7 Years,Lukas Graham,2016,237.3
13,Needed Me,Rihanna,2016,191.6
14,My House,Flo Rida,2016,192.19
15,I Took a Pill in Ibiza,Mike Posner,2016,197.933
16,Work from Home,Fifth Harmony featuring Ty Dolla Sign,2016,354.773
17,This Is What You Came For,Calvin Harris featuring Rihanna,2016,227.664
18,Cake by the Ocean,DNCE,2016,219.146
19,"Me, Myself & I",G-Eazy and Bebe Rexha,2016,251.466
20,Ride,Twenty One Pilots,2016,214.506
21,Heathens,Twenty One Pilots,2016,195.92
22,Pillowtalk,Zayn,2016,202.746
23,Stitches,Shawn Mendes,2016,206.88
24,Hotline Bling,Drake,2016,267.066
25,Cold Water,Major Lazer featuring Justin Bieber and Mí˜,2016,200.093
26,Send My Love (To Your New Lover),Adele,2016,223.078
27,Roses,The Chainsmokers featuring Rozes,2016,335.533
28,Treat You Better,Shawn Mendes,2016,187.973
29,Too Good,Drake featuring Rihanna,2016,274.192
30,Low Life,Future featuring The Weeknd,2016,392.138
31,What Do You Mean?,Justin Bieber,2016,205.68
32,The Hills,The Weeknd,2016,242.253
33,Just Like Fire,P!nk,2016,215.413
34,Broccoli,DRAM featuring Lil Yachty,2016,225.205
35,Don't,Bryson Tiller,2016,198.293
36,Dangerous Woman,Ariana Grande,2016,235.946
37,Jumpman,Drake and Future,2016,213.034
38,"I Hate U, I Love U",Gnash featuring Olivia O'Brien,2016,221.599
39,Here,Alessia Cara,2016,199.453
40,Same Old Love,Selena Gomez,2016,229.08
41,Controlla,Drake,2016,245.226
42,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2016,30.731
43,One Call Away,Charlie Puth,2016,194.453
44,Let It Go,James Bay,2016,260.532
45,No,Meghan Trainor,2016,213.506
46,Never Forget You,Zara Larsson and MNEK,2016,208.133
47,Let Me Love You,DJ Snake featuring Justin Bieber,2016,200.093
48,Don't Mind,Kent Jones,2016,198.236
49,H.O.L.Y.,Florida Georgia Line,2016,194.186
50,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,2016,233.869
51,Into You,Ariana Grande,2016,244.453
52,Gold,Kiiara,2016,225.882
53,Exchange,Bryson Tiller,2016,194.613
54,679,Fetty Wap featuring Remy Boyz,2016,308.565
55,Oui,Jeremih,2016,238.32
56,Hands to Myself,Selena Gomez,2016,200.68
57,2 Phones,Kevin Gates,2016,240
58,Starboy,The Weeknd featuring Daft Punk,2016,142.942
59,For Free,DJ Khaled featuring Drake,2016,183.695
60,Never Be Like You,Flume featuring Kai,2016,232.774
61,In the Night,The Weeknd,2016,235.653
62,Me Too,Meghan Trainor,2016,181.24
63,Ex's & Oh's,Elle King,2016,202.173
64,Die a Happy Man,Thomas Rhett,2016,227.426
65,White Iverson,Post Malone,2016,256.532
66,Close,Nick Jonas featuring Tove Lo,2016,215.51
67,Unsteady,X Ambassadors,2016,193.546
68,Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors",2016,243.49
69,Down in the DM,Yo Gotti featuring Nicki Minaj,2016,237.807
70,Luv,Tory Lanez,2016,228.64
71,Sorry,Beyoncé,2016,232.56
72,Can't Feel My Face,The Weeknd,2016,213.52
73,Hymn for the Weekend,Coldplay,2016,258.266
74,Say It,Tory Lanez,2016,237.786
75,Antidote,Travis Scott,2016,262.693
76,Lost Boy,Ruth B,2016,276.066
77,Side to Side,Ariana Grande featuring Nicki Minaj,2016,224.773
78,"Sit Still, Look Pretty",Daya,2016,207.761
79,Wildest Dreams,Taylor Swift,2016,220.44
80,Middle,DJ Snake featuring Bipolar Sunshine,2016,217.373
81,On My Mind,Ellie Goulding,2016,213.445
82,Pop Style,Drake featuring Jay-Z and Kanye West[a],2016,559.124
83,When We Were Young,Adele,2016,290.9
84,Hide Away,Daya,2016,191.368
85,Lean On,Major Lazer and DJ Snake featuring Mí˜,2016,200.093
86,I Know What You Did Last Summer,Shawn Mendes and Camila Cabello,2016,219.161
87,All the Way Up,Fat Joe and Remy Ma featuring French Montana and Infared,2016,284.83
88,Watch Me,Silentí³,2016,185.142
89,Back to Sleep,Chris Brown,2016,201.253
90,No Limit,Usher featuring Young Thug,2016,249.579
91,Cut It,O.T. Genasis featuring Young Dolph,2016,281.266
92,Really Really,Kevin Gates,2016,232.093
93,All In My Head (Flex),Fifth Harmony featuring Fetty Wap,2016,184.372
94,Starving,Hailee Steinfeld and Grey featuring Zedd,2016,181.933
95,Adventure of a Lifetime,Coldplay,2016,263.786
96,Humble and Kind,Tim McGraw,2016,259.266
97,Wicked,Future,2016,173.346
98,Tiimmy Turner,Desiigner,2016,239.853
99,See You Again,Wiz Khalifa featuring Charlie Puth,2016,264
100,Perfect,One Direction,2016,230.333
1,Shape of You,Ed Sheeran,2017,233.712
2,Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,2017,446.333
3,That's What I Like,Bruno Mars,2017,206.693
4,Humble,Kendrick Lamar,2017,177
5,Something Just Like This,The Chainsmokers and Coldplay,2017,230.573
6,Bad and Boujee,Migos featuring Lil Uzi Vert,2017,184.421
7,Closer,The Chainsmokers featuring Halsey,2017,221.7
8,Body Like a Back Road,Sam Hunt,2017,165.386
9,Believer,Imagine Dragons,2017,204.346
10,Congratulations,Post Malone featuring Quavo,2017,220.293
11,Say You Won't Let Go,James Arthur,2017,211.466
12,I'm the One,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2017,288.876
13,XO Tour Llif3,Lil Uzi Vert,2017,182.706
14,Mask Off,Future,2017,204.6
15,Unforgettable,French Montana featuring Swae Lee,2017,147.77
16,24K Magic,Bruno Mars,2017,225.983
